,municipality,oktmo
1,Барнаул,1701000
4,Город Краснодар,3701000
8,Красноярск,4701000
10,Владивостокский,5701000
14,Ставрополь,7701000
19,город Хабаровск,8701000
21,Благовещенск,10701000
22,Архангельск,11701000
24,Город Нарьян-Мар,11851000
25,Городской округ Белгород,14701000
27,Город Брянск,15701000
28,Город Владимир,17701000
31,Город Волгоград,18701000
34,Город Вологда,19701000
35,Город Череповец,19730000
36,город Воронеж,20701000
37,Нижний Новгород,22701000
40,Город Иваново,24701000
41,Иркутск,25701000
45,Город Калининградский,27701000
46,Город Тверь,28701000
47,город Калуга,29701000
49,Петропавловск-Камчатский городской округ,30701000
50,Кемеровский,32701000
57,Киров,33701000
58,Костромской район,34701000
59,Симферополь,35701000
64,Самара,36701000
68,Курган,37701000
69,Город Курск,38701000
70,Город Липецк,42701000
72,Магадан,44701000
87,Городской округ город Мурманск,47701000
88,Новосибирск,50701000
90,Омск,52701000
91,Оренбург,53701000
93,Город Орёл,54701000
94,Пенза,56701000
95,Пермь,57701000
97,городской округ Псков,58701000
98,Город Ростов-на-Дону,60701000
105,Город Рязань,61701000
106,Саратов,63701000
107,городской округ Город Южно-Сахалинск,64701000
108,муниципальное образование «город Екатеринбург»,65701000
113,Город Смоленск,66701000
114,Город Тамбов,68701000
115,Томск,69701000
116,Город Тула,70701000
118,Тюмень,71701000
120,Ханты-Мансийск,71871000
124,Салехард,71951000
127,Ульяновск,73701000
129,Челябинский,75701000
134,Чита,76701000
135,Анадырь,77701000
136,Город Ярославль,78701000
138,Городской округ Майкоп,79701000
139,Уфа,80701000
144,Нальчик,83701000
145,Горно-Алтайск,84701000
146,городской округ Элиста,85701000
147,Петрозаводский,86701000
148,ГО Сыктывкар,87701000
150,Йошкар-Ола,88701000
151,Владикавказ,90701000
152,Черкесск,91701000
153,Казань,92701000
155,Кызыл,93701000
156,Ижевск,94701000
158,Абакан,95701000
159,Городской округ Город Грозный,96701000
160,Чебоксары,97701000
162,Город Якутск,98701000
163,Биробиджан,99701000
